files	numero_controle_pncp	tamanho (MB)	url
%2Fvar%2Fwww%2Fhtml%2Fmulti24%2Fsistemas%2Fmulti24%2Fassets%2Ftmp%2FTERMO+DE+DISPENSA.pdf	92122712000100-1-000871/2024	0.15	https://pncp.gov.br/pncp-api/v1/orgaos/92122712000100/compras/2024/871/arquivos/2
PUBLICIDADE.pdf	08920571000156-1-000071/2024	0.07	https://pncp.gov.br/pncp-api/v1/orgaos/08920571000156/compras/2024/71/arquivos/1
TERMO+DE+REFERENCIA.pdf	08920571000156-1-000071/2024	0.10	https://pncp.gov.br/pncp-api/v1/orgaos/08920571000156/compras/2024/71/arquivos/2
wbc20241003161622570.pdf	14337579000197-1-000019/2024	0.08	https://pncp.gov.br/pncp-api/v1/orgaos/14337579000197/compras/2024/19/arquivos/1
wbc20241008102214430.pdf	14337579000197-1-000018/2024	0.23	https://pncp.gov.br/pncp-api/v1/orgaos/14337579000197/compras/2024/18/arquivos/2
wbc20241008102214333.pdf	14337579000197-1-000018/2024	0.21	https://pncp.gov.br/pncp-api/v1/orgaos/14337579000197/compras/2024/18/arquivos/1
wbc20241008102214510.pdf	14337579000197-1-000018/2024	0.16	https://pncp.gov.br/pncp-api/v1/orgaos/14337579000197/compras/2024/18/arquivos/3
wbc20240516085032607.zip, CP.10.002-24 - Edital e Anexos Rerrati I/ANEXO I/, CP.10.002-24 - Edital e Anexos Rerrati I/ANEXO I/BDI.pdf, CP.10.002-24 - Edital e Anexos Rerrati I/ANEXO I/ComposiçΣes.pdf, CP.10.002-24 - Edital e Anexos Rerrati I/ANEXO I/Cronograma.pdf, CP.10.002-24 - Edital e Anexos Rerrati I/ANEXO I/Memorial Descritivo.pdf, CP.10.002-24 - Edital e Anexos Rerrati I/ANEXO I/Planilha RG.pdf, CP.10.002-24 - Edital e Anexos Rerrati I/ANEXO I/Planilha.pdf, CP.10.002-24 - Edital e Anexos Rerrati I/ANEXO I/Projeto acessibilidade.pdf, CP.10.002-24 - Edital e Anexos Rerrati I/ANEXO I/Projeto.pdf, CP.10.002-24 - Edital e Anexos Rerrati I/CP.10.002-24 - Edital.pdf, CP.10.002-24 - Edital e Anexos Rerrati I/Minuta de contrato.pdf	46523239000147-1-000158/2024	5.75	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/158/arquivos/2
wbc20241008103400680.pdf	14337579000197-1-000018/2024	0.13	https://pncp.gov.br/pncp-api/v1/orgaos/14337579000197/compras/2024/18/arquivos/4
wbc20240506084508500.zip, CP.10.002-24 - Edital e anexos/ANEXO I/, CP.10.002-24 - Edital e anexos/ANEXO I/ANEXO I - BDI.pdf, CP.10.002-24 - Edital e anexos/ANEXO I/ANEXO I - ComposiçΣes.pdf, CP.10.002-24 - Edital e anexos/ANEXO I/ANEXO I - Cronograma.pdf, CP.10.002-24 - Edital e anexos/ANEXO I/ANEXO I - Memorial Descritivo.pdf, CP.10.002-24 - Edital e anexos/ANEXO I/ANEXO I - Planilha RG.pdf, CP.10.002-24 - Edital e anexos/ANEXO I/ANEXO I - Planilha.pdf, CP.10.002-24 - Edital e anexos/ANEXO I/ANEXO I - Projeto acessibilidade.pdf, CP.10.002-24 - Edital e anexos/ANEXO I/ANEXO I - Projeto.pdf, CP.10.002-24 - Edital e anexos/ANEXO II - Minuta de contrato.pdf, CP.10.002-24 - Edital e anexos/CP.10.002-24 - Edital.pdf	46523239000147-1-000158/2024	5.82	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/158/arquivos/1
wbc20241001092529090.pdf	14337579000197-1-000016/2024	0.21	https://pncp.gov.br/pncp-api/v1/orgaos/14337579000197/compras/2024/16/arquivos/1
wbc20241001092529200.pdf	14337579000197-1-000016/2024	0.23	https://pncp.gov.br/pncp-api/v1/orgaos/14337579000197/compras/2024/16/arquivos/2
wbc20241001092529250.pdf	14337579000197-1-000016/2024	0.16	https://pncp.gov.br/pncp-api/v1/orgaos/14337579000197/compras/2024/16/arquivos/3
wbc20241001092529310.pdf	14337579000197-1-000016/2024	0.16	https://pncp.gov.br/pncp-api/v1/orgaos/14337579000197/compras/2024/16/arquivos/4
wbc20241008082255507.pdf	14337579000197-1-000017/2024	0.24	https://pncp.gov.br/pncp-api/v1/orgaos/14337579000197/compras/2024/17/arquivos/2
wbc20241008082255373.pdf	14337579000197-1-000017/2024	0.23	https://pncp.gov.br/pncp-api/v1/orgaos/14337579000197/compras/2024/17/arquivos/1
wbc20241008082346537.pdf	14337579000197-1-000017/2024	0.17	https://pncp.gov.br/pncp-api/v1/orgaos/14337579000197/compras/2024/17/arquivos/3
wbc20241008082613550.pdf	14337579000197-1-000017/2024	0.15	https://pncp.gov.br/pncp-api/v1/orgaos/14337579000197/compras/2024/17/arquivos/4
wbc20241003101451793.pdf	46523239000147-1-000739/2024	1.00	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/739/arquivos/2
wbc20241003101500543.pdf	46523239000147-1-000739/2024	0.34	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/739/arquivos/3
wbc20241003101738327.pdf	46523239000147-1-000739/2024	0.28	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/739/arquivos/1
wbc20241003101506700.pdf	46523239000147-1-000739/2024	1.12	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/739/arquivos/4
wbc20241003101512313.pdf	46523239000147-1-000739/2024	0.29	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/739/arquivos/5
wbc20241003101541250.pdf	46523239000147-1-000739/2024	0.15	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/739/arquivos/8
wbc20241003101536407.pdf	46523239000147-1-000739/2024	1.10	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/739/arquivos/7
wbc20241003101525253.pdf	46523239000147-1-000739/2024	9.53	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/739/arquivos/6
wbc20241003101612913.pdf	46523239000147-1-000739/2024	3.69	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/739/arquivos/10
wbc20241003101705073.pdf	46523239000147-1-000739/2024	0.30	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/739/arquivos/13
wbc20241003101601437.pdf	46523239000147-1-000739/2024	13.01	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/739/arquivos/9
wbc20241003101628490.pdf	46523239000147-1-000739/2024	10.49	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/739/arquivos/11
wbc20241003101651110.pdf	46523239000147-1-000739/2024	25.70	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/739/arquivos/12
wbc20241003101707987.pdf	46523239000147-1-000739/2024	0.26	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/739/arquivos/14
wbc20241003101710390.pdf	46523239000147-1-000739/2024	0.26	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/739/arquivos/15
wbc20241003101713080.pdf	46523239000147-1-000739/2024	0.26	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/739/arquivos/16
wbc20241003101715750.pdf	46523239000147-1-000739/2024	0.26	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/739/arquivos/17
wbc20241003101726880.pdf	46523239000147-1-000739/2024	0.73	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/739/arquivos/19
wbc20241003101720810.pdf	46523239000147-1-000739/2024	1.79	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/739/arquivos/18
wbc20241003101730910.pdf	46523239000147-1-000739/2024	0.66	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/739/arquivos/20
wbc20241014132638487.doc	46523239000147-1-000738/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/738/arquivos/2
wbc20241014162803763.pdf	46523239000147-1-000738/2024	0.78	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/738/arquivos/1
wbc20241014143245450.pdf	46523239000147-1-000737/2024	0.83	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/737/arquivos/1
wbc20241014081227363.pdf	46523239000147-1-000736/2024	0.65	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/736/arquivos/1
wbc20241014142919290.docx	46523239000147-1-000737/2024	0.02	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/737/arquivos/2
wbc20241014081236830.doc	46523239000147-1-000736/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/736/arquivos/2
wbc20241011112142630.pdf	46523239000147-1-000735/2024	0.62	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/735/arquivos/1
wbc20241010104827893.docx	46523239000147-1-000734/2024	0.02	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/734/arquivos/2
wbc20241010152140413.doc	46523239000147-1-000735/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/735/arquivos/2
wbc20241010114436020.doc	46523239000147-1-000733/2024	0.03	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/733/arquivos/2
wbc20241011103225587.pdf	46523239000147-1-000733/2024	0.72	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/733/arquivos/1
wbc20241011104614817.pdf	46523239000147-1-000734/2024	0.76	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/734/arquivos/1
wbc20241010114447637.doc	46523239000147-1-000733/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/733/arquivos/3
wbc20241015170424660.pdf	46523239000147-1-000731/2024	0.66	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/731/arquivos/1
wbc20241011130642517.pdf	46523239000147-1-000732/2024	1.77	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/732/arquivos/1
wbc20241015162653940.doc	46523239000147-1-000731/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/731/arquivos/2
wbc20241010163907067.doc	46523239000147-1-000729/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/729/arquivos/2
wbc20241015145503493.pdf	46523239000147-1-000730/2024	0.49	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/730/arquivos/1
wbc20241010164922557.pdf	46523239000147-1-000728/2024	1.23	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/728/arquivos/1
wbc20241015152647587.doc	46523239000147-1-000730/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/730/arquivos/2
wbc20241010152420257.docx	46523239000147-1-000728/2024	0.01	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/728/arquivos/2
wbc20241014112413607.docx	46523239000147-1-000726/2024	0.13	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/726/arquivos/1
wbc20241014112429413.pdf	46523239000147-1-000726/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/726/arquivos/3
wbc20241014112422810.pdf	46523239000147-1-000726/2024	1.52	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/726/arquivos/2
wbc20241014112434340.pdf	46523239000147-1-000726/2024	0.42	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/726/arquivos/4
wbc20241014112440097.pdf	46523239000147-1-000726/2024	0.18	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/726/arquivos/5
wbc20241010152304457.pdf	46523239000147-1-000727/2024	1.25	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/727/arquivos/1
wbc20241010152314593.docx	46523239000147-1-000727/2024	0.01	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/727/arquivos/2
wbc20241011085359007.pdf	46523239000147-1-000725/2024	0.62	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/725/arquivos/1
wbc20241011085655550.docx	46523239000147-1-000725/2024	0.02	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/725/arquivos/2
wbc20241014165245130.pdf	46523239000147-1-000724/2024	0.53	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/724/arquivos/1
wbc20241014165300477.doc	46523239000147-1-000724/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/724/arquivos/2
wbc20241014120900890.pdf	46523239000147-1-000722/2024	0.69	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/722/arquivos/1
wbc20241014120909950.docx	46523239000147-1-000722/2024	0.02	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/722/arquivos/2
wbc20241010173148413.pdf	46523239000147-1-000720/2024	3.80	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/720/arquivos/1
wbc20241014164905120.pdf	46523239000147-1-000723/2024	0.58	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/723/arquivos/1
wbc20241010173158203.doc	46523239000147-1-000720/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/720/arquivos/2
wbc20241014164921050.doc	46523239000147-1-000723/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/723/arquivos/2
wbc20241010171857363.pdf	46523239000147-1-000719/2024	0.52	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/719/arquivos/1
wbc20241010171909740.doc	46523239000147-1-000719/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/719/arquivos/2
wbc20241011100451350.doc	46523239000147-1-000719/2024	0.03	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/719/arquivos/3
wbc20241014112705330.pdf	46523239000147-1-000721/2024	0.60	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/721/arquivos/1
wbc20241014112727923.docx	46523239000147-1-000721/2024	0.02	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/721/arquivos/2
wbc20241015152507363.pdf	46523239000147-1-000718/2024	0.51	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/718/arquivos/1
wbc20241015152625087.doc	46523239000147-1-000718/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/718/arquivos/2
wbc20241011133004000.docx	46523239000147-1-000717/2024	0.02	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/717/arquivos/2
wbc20241011133019943.pdf	46523239000147-1-000717/2024	0.65	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/717/arquivos/1
INTENCAO_assinado....pdf	08637373000180-1-000252/2024	0.09	https://pncp.gov.br/pncp-api/v1/orgaos/08637373000180/compras/2024/252/arquivos/1
71755EDITAL_PEJP_N_019_2024_%2B.pdf	06554208000139-1-000049/2024	1.04	https://pncp.gov.br/pncp-api/v1/orgaos/06554208000139/compras/2024/49/arquivos/1
Edital.pdf	07954480000179-1-019435/2024	0.37	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19435/arquivos/1
REPUBLICACAO_EDITAL_CONCORRENCIA_01_2024_ASSINADO..pdf	09116070000184-1-000042/2024	12.00	https://pncp.gov.br/pncp-api/v1/orgaos/09116070000184/compras/2024/42/arquivos/1
PE20241215SESA.pdf	07954480000179-1-019435/2024	0.32	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19435/arquivos/2
ANEXO+DE+ITENS_PREGAO_20241215.pdf	07954480000179-1-019435/2024	0.02	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19435/arquivos/3
20241015205118_108416_arquivo.pdf	01409580000138-1-002113/2024	0.15	https://pncp.gov.br/pncp-api/v1/orgaos/01409580000138/compras/2024/2113/arquivos/1
5474059.pdf	01280363000190-1-000086/2024	0.10	https://pncp.gov.br/pncp-api/v1/orgaos/01280363000190/compras/2024/86/arquivos/56
5486909.pdf	01280363000190-1-000086/2024	0.82	https://pncp.gov.br/pncp-api/v1/orgaos/01280363000190/compras/2024/86/arquivos/62
5486911.pdf	01280363000190-1-000086/2024	0.17	https://pncp.gov.br/pncp-api/v1/orgaos/01280363000190/compras/2024/86/arquivos/64
5486912.pdf	01280363000190-1-000086/2024	0.13	https://pncp.gov.br/pncp-api/v1/orgaos/01280363000190/compras/2024/86/arquivos/65
5486913.pdf	01280363000190-1-000086/2024	0.21	https://pncp.gov.br/pncp-api/v1/orgaos/01280363000190/compras/2024/86/arquivos/66
5486914.pdf	01280363000190-1-000086/2024	0.09	https://pncp.gov.br/pncp-api/v1/orgaos/01280363000190/compras/2024/86/arquivos/67
5486910.pdf	01280363000190-1-000086/2024	0.14	https://pncp.gov.br/pncp-api/v1/orgaos/01280363000190/compras/2024/86/arquivos/63
5486915.pdf	01280363000190-1-000086/2024	0.14	https://pncp.gov.br/pncp-api/v1/orgaos/01280363000190/compras/2024/86/arquivos/68
5486918.pdf	01280363000190-1-000086/2024	0.06	https://pncp.gov.br/pncp-api/v1/orgaos/01280363000190/compras/2024/86/arquivos/71
5486919.pdf	01280363000190-1-000086/2024	0.16	https://pncp.gov.br/pncp-api/v1/orgaos/01280363000190/compras/2024/86/arquivos/72
5486917.pdf	01280363000190-1-000086/2024	0.18	https://pncp.gov.br/pncp-api/v1/orgaos/01280363000190/compras/2024/86/arquivos/70
5486916.pdf	01280363000190-1-000086/2024	0.18	https://pncp.gov.br/pncp-api/v1/orgaos/01280363000190/compras/2024/86/arquivos/69
5486920.pdf	01280363000190-1-000086/2024	0.11	https://pncp.gov.br/pncp-api/v1/orgaos/01280363000190/compras/2024/86/arquivos/73
5486921.pdf	01280363000190-1-000086/2024	0.15	https://pncp.gov.br/pncp-api/v1/orgaos/01280363000190/compras/2024/86/arquivos/74
5486922.pdf	01280363000190-1-000086/2024	0.13	https://pncp.gov.br/pncp-api/v1/orgaos/01280363000190/compras/2024/86/arquivos/75
5486923.pdf	01280363000190-1-000086/2024	0.10	https://pncp.gov.br/pncp-api/v1/orgaos/01280363000190/compras/2024/86/arquivos/76
5486924.pdf	01280363000190-1-000086/2024	0.17	https://pncp.gov.br/pncp-api/v1/orgaos/01280363000190/compras/2024/86/arquivos/77
5486925.pdf	01280363000190-1-000086/2024	0.07	https://pncp.gov.br/pncp-api/v1/orgaos/01280363000190/compras/2024/86/arquivos/78
5486926.pdf	01280363000190-1-000086/2024	0.06	https://pncp.gov.br/pncp-api/v1/orgaos/01280363000190/compras/2024/86/arquivos/79
5486927.pdf	01280363000190-1-000086/2024	0.06	https://pncp.gov.br/pncp-api/v1/orgaos/01280363000190/compras/2024/86/arquivos/80
TermoDeParticipacao_20240018.pdf	07954480000179-1-019434/2024	0.08	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19434/arquivos/1
Aviso_244986.pdf	00697295009668-1-000036/2024	0.28	https://pncp.gov.br/pncp-api/v1/orgaos/00697295009668/compras/2024/36/arquivos/2
753277.pdf	92941681000100-1-000221/2024	1.62	https://pncp.gov.br/pncp-api/v1/orgaos/92941681000100/compras/2024/221/arquivos/1
%2Fvar%2Fwww%2Fhtml%2Fararangua.atende.net%2Ftemp%2FWCO%2FPNCP%2FEdital%2Fedital_123_2024_2153_documento.pdf	82911249000113-1-000103/2024	0.98	https://pncp.gov.br/pncp-api/v1/orgaos/82911249000113/compras/2024/103/arquivos/1
EDITAL+PE+34.pdf	01612636000157-1-000072/2024	0.34	https://pncp.gov.br/pncp-api/v1/orgaos/01612636000157/compras/2024/72/arquivos/1
Prego_Eletr_09224_RP_locao_tendas_banheiros_SELT_proc_287124.docx	46732442000123-1-000111/2024	0.17	https://pncp.gov.br/pncp-api/v1/orgaos/46732442000123/compras/2024/111/arquivos/1
Anexo_I_Prego_Eletr_09224_RP_tendas_banheiros_e_afins_SELT_proc_287124.docx	46732442000123-1-000111/2024	12.91	https://pncp.gov.br/pncp-api/v1/orgaos/46732442000123/compras/2024/111/arquivos/2
EDITAL.pdf	07954480000179-1-019433/2024	0.17	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19433/arquivos/1
PE20241147SESA.pdf	07954480000179-1-019433/2024	0.33	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19433/arquivos/2
ANEXO+DE+ITENS_PREGAO_20241147.pdf	07954480000179-1-019433/2024	0.02	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19433/arquivos/3
EDITAL+PE+0023+2024+CONST+GINASIO.pdf	08876104000176-1-000022/2024	6.81	https://pncp.gov.br/pncp-api/v1/orgaos/08876104000176/compras/2024/22/arquivos/1
aviso_e_termo.pdf	33663683000116-1-001393/2024	0.93	https://pncp.gov.br/pncp-api/v1/orgaos/33663683000116/compras/2024/1393/arquivos/1
Edital.pdf	07954480000179-1-019432/2024	0.37	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19432/arquivos/1
PE20240984SESA.pdf	07954480000179-1-019432/2024	0.32	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19432/arquivos/2
ANEXO+DE+ITENS_PREGAO_20240984.pdf	07954480000179-1-019432/2024	0.02	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19432/arquivos/3
TERMO_DE_REFERNCIA_FINALIZADO__APS_AGU.pdf	34792077000163-1-000058/2024	0.20	https://pncp.gov.br/pncp-api/v1/orgaos/34792077000163/compras/2024/58/arquivos/1
GERENCIAMENTO+DE+RISCOS.pdf	00394452000103-1-019064/2024	0.69	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2024/19064/arquivos/1
TERMO+DE+REFERENCIA.pdf	00394452000103-1-019064/2024	3.52	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2024/19064/arquivos/2
DFD.pdf	00394452000103-1-019064/2024	0.30	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2024/19064/arquivos/4
JUSTIFICATIVA+DA+AQUISICAO.pdf	00394452000103-1-019064/2024	0.88	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2024/19064/arquivos/3
wbc20241010163901420.pdf	46523239000147-1-000729/2024	0.68	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/729/arquivos/1
ESTUDOS+TECNICOS+PRELIMINARES.pdf	00394452000103-1-019064/2024	1.33	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2024/19064/arquivos/5
ANALISE+CRITICA+DE+PRECOS.pdf	00394452000103-1-019064/2024	0.90	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2024/19064/arquivos/6
RELATORIO+DE+PESQUISA+DE+PRECOS.pdf	00394452000103-1-019064/2024	0.54	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2024/19064/arquivos/7
MAPA+COMPARATIVO.pdf	00394452000103-1-019064/2024	2.82	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2024/19064/arquivos/8
vhf.p.gov.zip, 03---Pesq-preco-e-Mapa-comparativo-Assinatura-Pregoeiro.pdf, 04---Formalizacao-de-Dispensa-Eletronica-Assinaura-Pregoeiro-e-Diretor124.pdf-print.pdf, 05---Controle-de-PDM-e-CATMAT.pdf-print.pdf, 06---Aviso-da-DE.pdf-print.pdf, 07-Termo-de-Referencia-Radio-fixo-para-botes124.pdf-print.pdf	00394502000144-1-013845/2024	0.68	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2024/13845/arquivos/1
ORCAMENTO.pdf	00394452000103-1-019064/2024	0.30	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2024/19064/arquivos/9
REQUISICAO.pdf	00394452000103-1-019064/2024	0.38	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2024/19064/arquivos/10
EDITAL.pdf	07954480000179-1-019431/2024	0.82	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19431/arquivos/1
PE20240863SESA.pdf	07954480000179-1-019431/2024	0.33	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19431/arquivos/2
ANEXO+DE+ITENS_PREGAO_20240863.pdf	07954480000179-1-019431/2024	0.02	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19431/arquivos/3
Edital.pdf	07954480000179-1-019430/2024	0.37	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19430/arquivos/1
PE20241102SESA.pdf	07954480000179-1-019430/2024	0.32	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19430/arquivos/2
ANEXO+DE+ITENS_PREGAO_20241102.pdf	07954480000179-1-019430/2024	0.02	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19430/arquivos/3
111677_editais_1729034658.zip	06554166000136-1-000015/2024	0.54	https://pncp.gov.br/pncp-api/v1/orgaos/06554166000136/compras/2024/15/arquivos/1
Edital.pdf	07954480000179-1-019429/2024	0.37	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19429/arquivos/1
tmpjMIgbj.pdf	08357600000113-1-000005/2024	0.43	https://pncp.gov.br/pncp-api/v1/orgaos/08357600000113/compras/2024/5/arquivos/1
tmpyXjmii.pdf	46522942000130-1-000501/2024	3.24	https://pncp.gov.br/pncp-api/v1/orgaos/46522942000130/compras/2024/501/arquivos/1
PE20241195SESA.pdf	07954480000179-1-019429/2024	0.32	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19429/arquivos/2
63864617824392820638173_1_38171_DFD.pdf	01612776000125-1-000481/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/01612776000125/compras/2024/481/arquivos/1
63864618467276591438173_PEDIDO+DE+ORCAMENTO+P..pdf	01612776000125-1-000481/2024	0.02	https://pncp.gov.br/pncp-api/v1/orgaos/01612776000125/compras/2024/481/arquivos/2
63864617735756750938172_1_38169_DFD.pdf	01612776000125-1-000480/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/01612776000125/compras/2024/480/arquivos/1
ANEXO+DE+ITENS_PREGAO_20241195.pdf	07954480000179-1-019429/2024	0.02	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19429/arquivos/3
63864618399950740638172_PEDIDO+DE+ORCAMENTO+P..pdf	01612776000125-1-000480/2024	0.02	https://pncp.gov.br/pncp-api/v1/orgaos/01612776000125/compras/2024/480/arquivos/2
71a71fe2ace300b029325ee2308658f7_1726829023855.pdf	00360305000104-1-000176/2024	3.11	https://pncp.gov.br/pncp-api/v1/orgaos/00360305000104/compras/2024/176/arquivos/1
c125fe9198560dd86268a8a84803abed_1725913222109.xlsx	00360305000104-1-000156/2024	0.07	https://pncp.gov.br/pncp-api/v1/orgaos/00360305000104/compras/2024/156/arquivos/1
6385ab2e6677ada7a779e5cd5453d497_1726692778017.xlsx	00360305000104-1-000172/2024	0.08	https://pncp.gov.br/pncp-api/v1/orgaos/00360305000104/compras/2024/172/arquivos/1
024a6f80499ed3b8c01010d55ad85dfe_1725367551852.pdf	00360305000104-1-000148/2024	3.16	https://pncp.gov.br/pncp-api/v1/orgaos/00360305000104/compras/2024/148/arquivos/1
